station_id,x,y,name,stop_lat,stop_lon,endpoint
place-cool,84.85281373999999,98.99494931999999,Coolidge Corner Station,42.342116,-71.121263,0
place-sumav,77.78174593,91.92388151,Summit Avenue Station,42.34111,-71.12561,0
place-bndhl,70.71067812,84.85281368999999,Brandon Hall Station,42.340023,-71.129082,0
place-fbkst,63.639610309999995,77.78174588,Fairbanks Street Station,42.339725,-71.131073,0
place-bcnwa,56.56854249,70.71067807,Washington Square Station,42.339394,-71.13533,0
place-tapst,49.497474679999996,63.63961026,Tappan Street Station,42.338459,-71.138702,0
place-denrd,42.426406869999994,56.568542449999995,Dean Road Station,42.337807,-71.141853,0
place-engav,35.35533906,49.49747463,Englewood Avenue Station,42.336971,-71.14566,0
place-clmnl,25.35533906,49.49747463,Cleveland Circle Station,42.336142,-71.149326,1
place-bland,128.9949494,98.99494931999999,Blandford Street Station,42.349293,-71.100258,0
place-buest,121.9238816,106.06601713,Boston University East Station,42.349735,-71.103889,0
place-bucen,114.85281369999998,113.13708494,Boston University Central Station,42.350082,-71.106865,0
place-amory,107.7817459,120.20815275000001,Amory Street Station,42.350992,-71.114748,0
place-babck,100.71067810000001,127.27922056,Babcock Street Station,42.351616,-71.119924,0
place-brico,93.63961031000001,134.35028838,Packards Corner Station,42.351967,-71.125031,0
place-harvd,83.63961031000001,134.35028838,Harvard Avenue Station,42.350243,-71.131355,0
place-grigg,73.63961031000001,134.35028838,Griggs Street Station,42.348545,-71.134949,0
place-alsgr,66.5685425,127.279220568,Allston Street Station,42.348701,-71.137955,0
place-wrnst,59.49747469000002,120.20815275999999,Warren Street Station,42.348343,-71.140457,0
place-wascm,52.426406880000016,113.13708494,Washington Street Station,42.343864,-71.142853,0
place-sthld,45.355339070000014,106.06601713,Sutherland Road Station,42.341614,-71.146202,0
place-chswk,38.28427125000002,98.99494931999999,Chiswick Road Station,42.340805,-71.150711,0
place-chill,31.21320344000001,91.92388151,Chestnut Hill Avenue Station,42.338169,-71.15316,0
place-sougr,24.142135630000013,84.85281369999998,South Street Station,42.3396,-71.157661,0
place-lake,14.142135630000013,84.85281369999998,Boston College Station,42.340081,-71.166769,1
place-asmnl,193.13708501000002,10.71067811999999,Ashmont Station,42.28452,-71.063777,1
place-smmnl,193.13708501000002,20.71067811999999,Shawmut Station,42.293126,-71.065738,0
place-fldcr,193.13708501000002,30.71067811999999,Fields Corner Station,42.300093,-71.061667,0
place-shmnl,193.13708501000002,40.71067811999999,Savin Hill Station,42.31129,-71.053331,0
place-jfk,200.20815282,47.78174591999999,JFK/UMass Station,42.320685,-71.052391,0
place-andrw,200.20815282,57.78174591999999,Andrew Station,42.330154,-71.057655,0
place-brdwy,200.20815282,67.78174587999999,Broadway Station,42.342622,-71.056967,0
place-sstat,200.20815282,77.78174587999999,South Station,42.352271,-71.055242,0
place-dwnxg,193.13708501000002,84.85281369999998,Downtown Crossing Station,42.355518,-71.060225,0
place-chmnl,178.99494938000004,98.99494931999999,Charles/MGH Station,42.361166,-71.070628,0
place-knncl,171.92388157000005,106.06601713,Kendall/MIT Station,42.362491,-71.086176,0
place-cntsq,164.85281376000003,113.13708494,Central Square Station,42.365486,-71.103802,0
place-harsq,157.78174595000002,120.20815276,Harvard Square Station,42.373362,-71.118956,0
place-portr,150.71067814000003,127.27922057,Porter Square Station,42.3884,-71.119149,0
place-davis,140.71067814000003,127.27922057,Davis Station,42.39674,-71.121815,0
place-alfcl,130.710678137,127.27922057,Alewife Station,42.39583,-71.141287,1
place-nqncy,207.27922063,40.71067811999999,North Quincy Station,42.275275,-71.029583,0
place-wlsta,214.35028844,33.639610219999994,Wollaston Station,42.266514,-71.020337,0
place-qnctr,221.42135626,26.568542419999996,Quincy Center Station,42.251809,-71.005409,0
place-qamnl,228.49242409000001,19.497474619999995,Quincy Adams Station,42.233391,-71.007153,0
place-brntn,228.49242409000001,9.497474619999995,Braintree Station,42.207854,-71.001138,1
place-wondl,266.77669529,134.35028838,Wonderland Station,42.41342,-70.991648,1
place-rbmnl,259.70562749000004,127.27922057,Revere Beach Station,42.407843,-70.992533,0
place-bmmnl,252.63455969000003,120.20815276,Beachmont Station,42.397542,-70.992319,0
place-sdmnl,245.56349189000002,113.13708494,Suffolk Downs Station,42.390501,-70.997123,0
place-orhte,238.49242409000001,106.06601713,Orient Heights Station,42.386867,-71.004736,0
place-wimnl,231.42135629,98.99494931999999,Wood Island Station,42.37964,-71.022865,0
place-aport,224.35028849000003,91.92388151,Airport Station,42.374262,-71.030395,0
place-mvbcl,217.27922063,84.85281369999998,Maverick Station,42.369119,-71.03953,0
place-aqucl,207.27922063,84.85281369999998,Aquarium Station,42.359784,-71.051652,0
place-bomnl,186.0660172,106.06601713,Bowdoin Station,42.361365,-71.062037,1
place-forhl,122.42640689000001,14.142135620000005,Forest Hills Station,42.300713,-71.113943,1
place-grnst,129.49747470200003,21.21320341999999,Green St. Station,42.310525,-71.107414,0
place-sbmnl,136.56854251000001,28.28427121999999,Stony Brook Station,42.317062,-71.104248,0
place-jaksn,143.63961033000004,35.35533901999999,Jackson Square Station,42.323132,-71.099592,0
place-rcmnl,150.71067814000003,42.42640682,Roxbury Crossing Station,42.331397,-71.095451,0
place-rugg,157.78174595000002,49.49747461999999,Ruggles Station,42.336377,-71.088961,0
place-masta,164.85281376000003,56.56854242,Massachusetts Ave. Station,42.341512,-71.083423,0
place-bbsta,171.92388157000005,63.63961026,Back Bay Station,42.34735,-71.075727,0
place-tumnl,178.99494938000004,70.71067807,Tufts Medical Center Station,42.349662,-71.063917,0
place-chncl,186.0660172,77.78174587999999,Chinatown Station,42.352547,-71.062752,0
place-state,200.20815282,91.92388151,State St. Station,42.358978,-71.057598,0
place-ccmnl,207.27922063,118.99494931999999,Community College Station,42.373622,-71.069533,0
place-sull,207.27922063,128.99494932,Sullivan Station,42.383975,-71.076994,0
place-welln,207.27922063,148.99494932,Wellington Station,42.40237,-71.077082,0
place-mlmnl,207.27922063,158.99494932,Malden Center Station,42.426632,-71.07411,0
place-ogmnl,207.27922063,168.99494932,Oak Grove Station,42.43668,-71.071097,1
place-esomr,178.9949494,137.27922056000003,East Somerville,42.379467,-71.086625,0
place-gilmn,171.9238816,144.35028837000004,Gilman Square,42.387928,-71.096766,0
place-mgngl,164.85281379999998,151.42135618000006,Magoun Square,42.393682,-71.106388,0
place-balsq,157.78174599999997,158.49242399000008,Ball Square,42.399889,-71.111003,0
place-mdftf,150.71067819999996,165.5634918000001,Medford/Tufts,42.407975,-71.117044,1
place-unsqu,176.06601720970923,130.20815275,Union Square,42.377359,-71.094761,1
place-astao,207.27922063,138.99494932,Assembly,42.392811,-71.077257,0
