,source_station_id,target_station_id,route_id,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target,direction
6,place-boyls,place-armnl,green-e,176.0660172,91.92388151,166.0660172,91.92388151,-71.06459,42.35302,-71.06459,42.35302,0
6,place-armnl,place-boyls,green-e,166.0660172,91.92388151,176.0660172,91.92388151,-71.070893,42.351902,-71.070893,42.351902,1
7,place-armnl,place-coecl,green-e,166.0660172,91.92388151,156.0660172,91.92388151,-71.070893,42.351902,-71.070893,42.351902,0
7,place-coecl,place-armnl,green-e,156.0660172,91.92388151,166.0660172,91.92388151,-71.077447,42.349974,-71.077447,42.349974,1
1,place-asmnl,place-smmnl,red-a,193.13708501,10.71067811999999,193.13708501,20.71067811999999,-71.063777,42.28452,-71.063777,42.28452,1
62,place-smmnl,place-asmnl,red-a,193.13708501,20.71067811999999,193.13708501,10.71067811999999,-71.065738,42.293126,-71.065738,42.293126,0
18,place-smmnl,place-fldcr,red-a,193.13708501,20.71067811999999,193.13708501,30.71067811999999,-71.065738,42.293126,-71.065738,42.293126,1
79,place-fldcr,place-smmnl,red-a,193.13708501,30.71067811999999,193.13708501,20.71067811999999,-71.061667,42.300093,-71.061667,42.300093,0
8,place-fldcr,place-shmnl,red-a,193.13708501,30.71067811999999,193.13708501,40.71067811999999,-71.061667,42.300093,-71.061667,42.300093,1
69,place-shmnl,place-fldcr,red-a,193.13708501,40.71067811999999,193.13708501,30.71067811999999,-71.053331,42.31129,-71.053331,42.31129,0
17,place-shmnl,place-jfk,red-a,193.13708501,40.71067811999999,200.20815282,47.78174591999999,-71.053331,42.31129,-71.053331,42.31129,1
78,place-jfk,place-shmnl,red-a,200.20815282,47.78174591999999,193.13708501,40.71067811999999,-71.052391,42.320685,-71.052391,42.320685,0
10,place-jfk,place-andrw,red-a,200.20815282,47.78174591999999,200.20815282,57.78174591999999,-71.052391,42.320685,-71.052391,42.320685,1
71,place-andrw,place-jfk,red-a,200.20815282,57.78174591999999,200.20815282,47.78174591999999,-71.057655,42.330154,-71.057655,42.330154,0
0,place-andrw,place-brdwy,red-a,200.20815282,57.78174591999999,200.20815282,67.78174587999999,-71.057655,42.330154,-71.057655,42.330154,1
61,place-brdwy,place-andrw,red-a,200.20815282,67.78174587999999,200.20815282,57.78174591999999,-71.056967,42.342622,-71.056967,42.342622,0
2,place-brdwy,place-sstat,red-a,200.20815282,67.78174587999999,200.20815282,77.78174587999999,-71.056967,42.342622,-71.056967,42.342622,1
63,place-sstat,place-brdwy,red-a,200.20815282,77.78174587999999,200.20815282,67.78174587999999,-71.055242,42.352271,-71.055242,42.352271,0
19,place-sstat,place-dwnxg,red-a,200.20815282,77.78174587999999,193.13708501,84.85281369999998,-71.055242,42.352271,-71.055242,42.352271,1
80,place-dwnxg,place-sstat,red-a,193.13708501,84.85281369999998,200.20815282,77.78174587999999,-71.060225,42.355518,-71.060225,42.355518,0
7,place-dwnxg,place-pktrm,red-a,193.13708501,84.85281369999998,186.0660172,91.92388151,-71.060225,42.355518,-71.060225,42.355518,1
68,place-pktrm,place-dwnxg,red-a,186.0660172,91.92388151,193.13708501,84.85281369999998,-71.062424,42.356395,-71.062424,42.356395,0
13,place-pktrm,place-chmnl,red-a,186.0660172,91.92388151,178.99494938000004,98.99494932,-71.062424,42.356395,-71.062424,42.356395,1
74,place-chmnl,place-pktrm,red-a,178.99494938000004,98.99494932,186.0660172,91.92388151,-71.070628,42.361166,-71.070628,42.361166,0
4,place-chmnl,place-knncl,red-a,178.99494938000004,98.99494932,171.92388157000005,106.06601713,-71.070628,42.361166,-71.070628,42.361166,1
65,place-knncl,place-chmnl,red-a,171.92388157000005,106.06601713,178.99494938000004,98.99494932,-71.086176,42.362491,-71.086176,42.362491,0
11,place-knncl,place-cntsq,red-a,171.92388157000005,106.06601713,164.85281376000003,113.13708494,-71.086176,42.362491,-71.086176,42.362491,1
72,place-cntsq,place-knncl,red-a,164.85281376000003,113.13708494,171.92388157000005,106.06601713,-71.103802,42.365486,-71.103802,42.365486,0
5,place-cntsq,place-harsq,red-a,164.85281376000003,113.13708494,157.78174595000002,120.20815276,-71.103802,42.365486,-71.103802,42.365486,1
66,place-harsq,place-cntsq,red-a,157.78174595000002,120.20815276,164.85281376000003,113.13708494,-71.118956,42.373362,-71.118956,42.373362,0
9,place-harsq,place-portr,red-a,157.78174595000002,120.20815276,150.71067814000003,127.27922057,-71.118956,42.373362,-71.118956,42.373362,1
70,place-portr,place-harsq,red-a,150.71067814000003,127.27922057,157.78174595000002,120.20815276,-71.119149,42.3884,-71.119149,42.3884,0
14,place-portr,place-davis,red-a,150.71067814000003,127.27922057,140.71067814000003,127.27922057,-71.119149,42.3884,-71.119149,42.3884,1
75,place-davis,place-portr,red-a,140.71067814000003,127.27922057,150.71067814000003,127.27922057,-71.121815,42.39674,-71.121815,42.39674,0
6,place-davis,place-alfcl,red-a,140.71067814000003,127.27922057,130.710678137,127.27922057,-71.121815,42.39674,-71.121815,42.39674,1
67,place-alfcl,place-davis,red-a,130.710678137,127.27922057,140.71067814000003,127.27922057,-71.141287,42.39583,-71.141287,42.39583,0
3,place-brntn,place-qamnl,red-b,228.49242409,9.497474619999997,228.49242409,19.497474619999995,-71.001138,42.207854,-71.001138,42.207854,1
